,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
R_p,1.09,0.006,1.076,1.099,0.0,0.0,9766.0,9740.0,
T_iso,2362.165,273.027,1810.923,2659.899,2.736,4.94,9483.0,9880.0,
alpha_cld,2.879,0.451,2.369,3.556,0.004,0.007,9476.0,9774.0,
log_10_f_H2O,-4.147,0.216,-4.389,-3.503,0.002,0.003,9745.0,9679.0,
log_10_g,3.265,0.049,3.171,3.301,0.0,0.001,10002.0,10019.0,
log_10_k_cld_Ray,-1.834,0.224,-2.134,-1.331,0.002,0.003,10010.0,9691.0,
log_10_k_cld_grey,-2.788,0.553,-3.898,-1.867,0.006,0.004,8822.0,9576.0,
