,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
R_p,1.376,0.002,1.373,1.379,0.0,0.0,22.0,22.0,
T_iso,655.604,41.671,574.559,723.594,9.192,4.598,21.0,22.0,
log_10_f_H2O,-5.109,0.111,-5.308,-4.881,0.026,0.014,19.0,48.0,
