#Central_WL(μm)   Half_BW(μm)    Eclipse_Depth      Err_Pos       Err_Neg       Mode      
#------------------------------------------------------------------------------------------
9.3125           0.0625         0.004075           3.8e-05       3.8e-05       boxcar    
9.4375           0.0625         0.004078           3.6e-05       3.6e-05       boxcar    
9.5625           0.0625         0.004062           3.6e-05       3.6e-05       boxcar    
9.6875           0.0625         0.004365           3.6e-05       3.6e-05       boxcar    
9.8125           0.0625         0.004249           5.4e-05       5.4e-05       boxcar    
9.9375           0.0625         0.004191           4e-05         4e-05         boxcar    
10.125           0.25           0.004365           3.5e-05       3.5e-05       boxcar    
10.375           0.25           0.00426            3.3e-05       3.3e-05       boxcar    
10.625           0.25           0.00436            3.7e-05       3.7e-05       boxcar    
10.875           0.25           0.004392           5e-05         5e-05         boxcar    
11.25            0.25           0.004672           5.8e-05       5.8e-05       boxcar    
11.75            0.25           0.004604           5.9e-05       5.9e-05       boxcar    
